Date,Open,High,Low,Close,Adj Close,Volume
8/10/2016,82.029999,82.339996,80.639999,80.849998,71.038322,3863100
8/11/2016,81.139999,82.410004,80.970001,81.5,71.609436,4385400
8/12/2016,81.800003,82.089996,80.93,81.199997,71.345833,3902400
8/15/2016,81.75,82.129997,81.089996,82.040001,72.083916,4016000
8/16/2016,81.93,82.379997,81.449997,81.919998,71.978477,3584400
8/17/2016,81.599998,82.25,81.220001,82.209999,72.233284,3905500
8/18/2016,82.480003,83.970001,82.360001,83.860001,73.683037,5467000
8/19/2016,83.510002,83.669998,82.720001,83.309998,73.199783,5185600
8/22/2016,82.650002,82.709999,81.610001,82.050003,72.092682,5091600
8/23/2016,82.169998,82.400002,81.540001,81.75,71.829102,4473700
8/24/2016,81.480003,81.82,81.110001,81.330002,71.460075,4462500
8/25/2016,81.389999,81.730003,81.029999,81.339996,71.468864,3767100
8/26/2016,81.279999,82.029999,80.470001,80.900002,71.082245,4535400
8/29/2016,80.610001,81.5,80.610001,81.139999,71.293114,3359000
8/30/2016,81.669998,81.900002,80.489998,80.639999,70.853798,7873600
8/31/2016,80.150002,80.339996,78.629997,79,69.412834,8306100
9/1/2016,78.440002,79.129997,78.239998,78.959999,69.377686,6705200
9/2/2016,79.25,79.699997,78.510002,78.550003,69.457268,4912100
9/6/2016,78.660004,78.949997,78.25,78.779999,69.660637,5560900
9/7/2016,78.830002,79.050003,78.480003,78.610001,69.510315,3970700
9/8/2016,78.989998,79.760002,78.230003,79.379997,70.191193,4845300
9/9/2016,78.760002,79.220001,77.559998,77.559998,68.581879,7626600
9/12/2016,77.809998,79.269997,77.099998,78.800003,69.678322,6343100
9/13/2016,77.980003,78.099998,76.879997,77.080002,68.157433,7482000
9/14/2016,76.900002,77.900002,76.169998,76.370003,67.529625,5190400
9/15/2016,76.160004,77.150002,76.089996,76.800003,67.909843,5177400
9/16/2016,76.099998,77.099998,75.93,76.330002,67.494255,7243200
9/19/2016,76.839996,77.400002,75.93,75.959999,67.167084,5925000
9/20/2016,76.080002,76.199997,75.370003,75.370003,66.645378,6821800
